user_id,community_id,interaction_type,engagement_score,similarity_score,timestamp,user_age,user_location,user_activity_level,community_category,community_member_count,community_activity_score
936,344,join,1,0,"2025-06-07 22:14:02",33,Angers,medium,"Éducation Environnementale",158,0.5
1547,286,join,1,0.5,"2025-05-07 22:14:02",27,Grenoble,low,"Innovation Verte",130,0.22
116,153,join,1,0.222,"2025-08-17 22:14:02",18,Nantes,high,"Innovation Verte",250,0.5
634,29,join,1,0,"2025-01-10 21:14:02",27,Nantes,medium,"Énergies Renouvelables",123,0.45
920,210,comment,2,0.2,"2025-08-19 22:14:02",30,Nice,high,"Innovation Verte",672,0.49
1589,295,like,2,0.222,"2025-05-18 22:14:02",51,Dijon,medium,"Urbanisme Durable",755,0.49
1021,412,like,1,0.167,"2025-01-28 21:14:02",60,Toulon,high,"Biodiversité & Nature",745,0.12
461,123,comment,1,0.1,"2025-07-07 22:14:02",32,Dijon,low,"Protection Animale",137,0.87
971,387,join,1,0,"2025-02-03 21:14:02",46,Nantes,medium,"Énergies Renouvelables",921,0.25
1982,446,join,1,0.167,"2025-09-08 22:14:02",23,Villeurbanne,low,"Éducation Environnementale",323,0.5
1809,109,share,2,0.2,"2025-04-29 22:14:02",23,Grenoble,low,"Urbanisme Durable",128,0.84
1069,135,comment,1,0,"2024-12-20 21:14:02",59,Nantes,medium,"Énergies Renouvelables",519,0.74
248,453,share,1,0,"2025-05-20 22:14:02",63,Lyon,low,"Énergies Renouvelables",224,0.36
675,381,comment,1,0.111,"2025-07-11 22:14:02",54,Saint-Étienne,medium,"Consommation Responsable",778,0.43
1454,234,like,1,0,"2024-10-16 22:14:02",62,Nantes,high,"Énergies Renouvelables",374,0.41
1459,425,comment,1,0.125,"2024-11-19 21:14:02",54,Paris,high,"Éducation Environnementale",896,0.99
436,76,post,1,0.125,"2025-08-20 22:14:02",44,Bordeaux,low,"Consommation Responsable",869,0.93
1708,131,share,1,0,"2025-07-11 22:14:02",39,Rennes,low,"Économie Circulaire",106,0.69
1952,373,join,1,0.1,"2025-04-25 22:14:02",57,Nantes,low,"Protection Animale",131,0.66
1891,317,join,1,0,"2025-01-17 21:14:02",46,Dijon,high,"Énergies Renouvelables",874,0.43
478,201,share,1,0,"2025-09-02 22:14:02",44,Dijon,medium,"Transport Durable",418,0.48
75,98,post,1,0.111,"2025-04-26 22:14:02",39,Rennes,medium,"Agriculture Écologique",650,0.83
544,203,share,1,0,"2025-08-04 22:14:02",64,Lille,low,"Innovation Verte",44,0.75
1128,308,post,2,0.222,"2024-11-01 21:14:02",61,Montpellier,high,"Innovation Verte",428,0.67
625,494,like,1,0,"2025-02-15 21:14:02",20,Nantes,medium,"Protection Animale",794,0.53
739,62,post,1,0,"2025-06-08 22:14:02",21,Lille,medium,"Éducation Environnementale",954,0.75
1324,452,comment,1,0,"2025-03-26 21:14:02",54,Nîmes,low,"Économie Circulaire",799,0.61
1878,78,join,1,0,"2024-11-21 21:14:02",33,Paris,medium,"Consommation Responsable",544,0.3
336,217,share,1,0,"2024-10-24 22:14:02",62,Strasbourg,high,"Transport Durable",50,0.34
1683,78,comment,1,0,"2025-08-23 22:14:02",65,Toulon,low,"Consommation Responsable",544,0.3
1186,367,like,1,0.222,"2024-12-26 21:14:02",58,Reims,medium,"Innovation Verte",847,0.31
1025,409,comment,1,0.143,"2025-01-26 21:14:02",45,Nîmes,high,"Climat & Environnement",853,0.88
801,169,post,1,0.1,"2024-10-27 21:14:02",48,Lille,medium,"Protection Animale",11,0.2
269,125,comment,1,0,"2025-04-07 22:14:02",60,Nantes,medium,"Urbanisme Durable",778,0.95
625,147,post,1,0.2,"2025-01-09 21:14:02",20,Nantes,medium,"Innovation Verte",803,1
1515,281,join,1,0.2,"2025-07-15 22:14:02",27,Montpellier,medium,"Éducation Environnementale",210,0.12
998,493,post,1,0.125,"2025-06-08 22:14:02",19,Villeurbanne,medium,"Éducation Environnementale",714,0.8
194,62,post,2,0.4,"2024-10-26 22:14:02",42,Lille,high,"Éducation Environnementale",954,0.75
852,301,join,1,0,"2024-11-06 21:14:02",30,Rennes,medium,"Économie Circulaire",528,0.26
587,96,like,1,0,"2024-11-09 21:14:02",51,Strasbourg,medium,"Protection Animale",784,0.82
259,212,share,1,0,"2024-11-22 21:14:02",44,Angers,high,"Éducation Environnementale",254,0.95
1874,133,join,1,0,"2025-01-03 21:14:02",26,Reims,low,"Éducation Environnementale",823,0.4
