title,description,category,label,keywords
Nettoyage de plage,Ramassage des déchets sur le littoral méditerranéen,Environnement,Nettoyage,"plage, déchets, ramassage, littoral"
Plantation d'arbres,Plantons 500 arbres dans la forêt locale,Environnement,Plantation,"arbre, forêt, plantation, reforestation"
Atelier compost,Apprenez à faire du compost chez vous,Environnement,Éco-atelier,"atelier, compost, pratique écologique, DIY"
Conférence sur le climat,Sensibilisation au changement climatique,Environnement,Sensibilisation,"conférence, climat, sensibilisation, éducation"
Collecte de fonds marine,Soutenez la protection des océans,Environnement,Collecte de fonds,"financement, don, océan, protection"
Nettoyage de forêt,Débarrassons la forêt des déchets abandonnés,Environnement,Nettoyage,"forêt, déchets, ramassage, nettoyage"
Reforestation urbaine,Plantons des arbres en ville pour plus de verdure,Environnement,Plantation,"arbre, urbain, plantation, verdure"
Atelier recyclage créatif,Transformez vos déchets en objets utiles,Environnement,Éco-atelier,"atelier, recyclage, créatif, DIY"
Webinaire biodiversité,Découvrez la richesse de notre écosystème,Environnement,Sensibilisation,"webinaire, biodiversité, éducation, écosystème"
Levée de fonds écologique,Financez des projets verts dans votre région,Environnement,Collecte de fonds,"levée de fonds, financement, projets verts"
Ramassage déchets rivière,Nettoyons les berges de la rivière locale,Environnement,Nettoyage,"rivière, déchets, ramassage, berges"
Plantation haies champêtres,Créons des corridors écologiques avec des haies,Environnement,Plantation,"haie, plantation, corridors écologiques, champêtre"
Atelier jardinage bio,Apprenez les techniques de jardinage biologique,Environnement,Éco-atelier,"atelier, jardinage, bio, technique écologique"
Conférence zéro déchet,Comment réduire ses déchets au quotidien,Environnement,Sensibilisation,"conférence, zéro déchet, réduction, sensibilisation"
Don pour énergies renouvelables,Soutenez les projets solaires et éoliens,Environnement,Collecte de fonds,"don, énergies renouvelables, solaire, éolien"
Nettoyage parc urbain,Ramassage des déchets dans le parc municipal,Environnement,Nettoyage,"parc, urbain, déchets, ramassage"
Plantation arbres fruitiers,Créons un verger communautaire ensemble,Environnement,Plantation,"arbre fruitier, verger, plantation, communautaire"
Atelier fabrication produits,Fabriquez vos produits ménagers naturels,Environnement,Éco-atelier,"atelier, fabrication, produits naturels, DIY"
Sensibilisation pollution plastique,Les impacts du plastique sur l'environnement,Environnement,Sensibilisation,"sensibilisation, pollution, plastique, impact"
Financement projet écolo,Aidez-nous à financer notre jardin partagé,Environnement,Collecte de fonds,"financement, projet écologique, jardin, aide"
Nettoyage littoral océanique,Grande opération de nettoyage des plages,Environnement,Nettoyage,"littoral, océan, plage, nettoyage, déchets"
Reforestation montagne,Plantons des conifères en zone montagneuse,Environnement,Plantation,"reforestation, montagne, conifères, plantation"
Atelier cosmétiques naturels,Créez vos cosmétiques maison écologiques,Environnement,Éco-atelier,"atelier, cosmétiques, naturels, maison, écologique"
Formation éco-citoyenneté,Devenez un citoyen acteur du changement,Environnement,Sensibilisation,"formation, éco-citoyenneté, éducation, changement"
Crowdfunding forêt,Finançons la protection d'une forêt ancienne,Environnement,Collecte de fonds,"crowdfunding, forêt, protection, financement"
Nettoyage zone humide,Préservons les marais en les nettoyant,Environnement,Nettoyage,"zone humide, marais, nettoyage, préservation"
Plantation mangrove,Restaurons l'écosystème des mangroves côtières,Environnement,Plantation,"mangrove, plantation, restauration, écosystème"
Atelier upcycling textile,Donnez une seconde vie à vos vêtements,Environnement,Éco-atelier,"atelier, upcycling, textile, seconde vie"
Conférence espèces menacées,Protégeons la faune en danger d'extinction,Environnement,Sensibilisation,"conférence, espèces menacées, faune, protection"
Don conservation nature,Soutenez les efforts de conservation locale,Environnement,Collecte de fonds,"don, conservation, nature, soutien"
Nettoyage sentier randonnée,Rendons nos sentiers propres et agréables,Environnement,Nettoyage,"sentier, randonnée, nettoyage, propreté"
Plantation haie bocagère,Restaurons le bocage avec des haies natives,Environnement,Plantation,"haie, bocage, plantation, restauration"
Atelier permaculture,Initiez-vous aux principes de la permaculture,Environnement,Éco-atelier,"atelier, permaculture, principes, initiation"
Webinaire eau potable,L'importance de préserver nos ressources en eau,Environnement,Sensibilisation,"webinaire, eau potable, ressources, préservation"
Financement ruches urbaines,Installons des ruches en ville pour les abeilles,Environnement,Collecte de fonds,"financement, ruches, urbain, abeilles"
Nettoyage lac,Dépolluons le lac et ses rives,Environnement,Nettoyage,"lac, dépollution, nettoyage, rives"
Plantation verger école,Créons un verger pédagogique dans l'école,Environnement,Plantation,"verger, école, plantation, pédagogique"
Atelier compostage collectif,Installez un composteur dans votre quartier,Environnement,Éco-atelier,"atelier, compostage, collectif, quartier"
Conférence agriculture durable,Les pratiques agricoles respectueuses de l'environnement,Environnement,Sensibilisation,"conférence, agriculture durable, pratiques, respect"
Levée fonds jardin communautaire,Créons ensemble un espace vert partagé,Environnement,Collecte de fonds,"levée de fonds, jardin communautaire, espace vert"
Ramassage déchets montagne,Nettoyons les sommets et les refuges,Environnement,Nettoyage,"montagne, déchets, ramassage, sommets"
Reforestation zone incendiée,Replantons les zones touchées par les incendies,Environnement,Plantation,"reforestation, incendie, replantation, zone touchée"
Atelier réparation vélos,Apprenez à réparer votre vélo vous-même,Environnement,Éco-atelier,"atelier, réparation, vélo, DIY"
Formation tri sélectif,Maîtrisez les gestes du tri des déchets,Environnement,Sensibilisation,"formation, tri sélectif, déchets, gestes"
Don protection faune,Aidez à protéger les animaux sauvages locaux,Environnement,Collecte de fonds,"don, protection, faune, animaux sauvages"
Nettoyage berges canal,Opération propreté le long du canal,Environnement,Nettoyage,"berges, canal, nettoyage, propreté"
Plantation arbres urbains,Verdissons nos rues avec de nouveaux arbres,Environnement,Plantation,"arbre, urbain, plantation, verdissement"
Atelier savon maison,Fabrication artisanale de savons naturels,Environnement,Éco-atelier,"atelier, savon, maison, fabrication, naturel"
Conférence mobilité douce,Les transports écologiques en ville,Environnement,Sensibilisation,"conférence, mobilité douce, transports écologiques"
Financement potager solidaire,Créons un potager pour les personnes démunies,Environnement,Collecte de fonds,"financement, potager, solidaire, création"
Nettoyage cascade naturelle,Préservons la beauté de nos cascades,Environnement,Nettoyage,"cascade, naturelle, nettoyage, préservation"
Plantation bosquet,Créons un îlot de biodiversité avec un bosquet,Environnement,Plantation,"bosquet, plantation, biodiversité, îlot"
Atelier furoshiki,L'art japonais de l'emballage en tissu réutilisable,Environnement,Éco-atelier,"atelier, furoshiki, emballage, tissu, réutilisable"
Sensibilisation gaspillage alimentaire,Réduisons le gaspillage dans nos assiettes,Environnement,Sensibilisation,"sensibilisation, gaspillage alimentaire, réduction"
Don sanctuaire oiseaux,Soutenez la création d'un refuge pour oiseaux,Environnement,Collecte de fonds,"don, sanctuaire, oiseaux, refuge"
Nettoyage aire de jeux,Rendons l'aire de jeux propre pour les enfants,Environnement,Nettoyage,"aire de jeux, nettoyage, propreté, enfants"
Plantation oliviers,Plantons des oliviers pour restaurer le paysage,Environnement,Plantation,"oliviers, plantation, restauration, paysage"
Atelier tawashi,Créez des éponges écologiques en tissu recyclé,Environnement,Éco-atelier,"atelier, tawashi, éponge écologique, recyclage"
Webinaire consommation responsable,Acheter mieux pour préserver la planète,Environnement,Sensibilisation,"webinaire, consommation responsable, planète"
Crowdfunding parc naturel,Aidez à créer un nouveau parc naturel régional,Environnement,Collecte de fonds,"crowdfunding, parc naturel, création, régional"
Nettoyage plage coquillages,Préservons la beauté de nos plages de sable fin,Environnement,Nettoyage,"plage, coquillages, nettoyage, préservation"
Reforestation dunes,Stabilisons les dunes avec des plantations,Environnement,Plantation,"reforestation, dunes, stabilisation, plantation"
Atelier bee wrap,Fabriquez des emballages alimentaires en cire d'abeille,Environnement,Éco-atelier,"atelier, bee wrap, emballage, cire d'abeille"
Conférence économie circulaire,Repenser notre modèle de consommation,Environnement,Sensibilisation,"conférence, économie circulaire, consommation, modèle"
Financement station épuration,Modernisons le traitement de nos eaux usées,Environnement,Collecte de fonds,"financement, station épuration, eaux usées"
Nettoyage estuaire,Protégeons l'estuaire et sa biodiversité unique,Environnement,Nettoyage,"estuaire, nettoyage, protection, biodiversité"
Plantation vignes écologiques,Développons la viticulture biologique locale,Environnement,Plantation,"vignes, plantation, écologique, viticulture bio"
Atelier teinture végétale,Teignez vos tissus avec des plantes naturelles,Environnement,Éco-atelier,"atelier, teinture végétale, plantes, naturel"
Formation empreinte carbone,Calculez et réduisez votre impact climatique,Environnement,Sensibilisation,"formation, empreinte carbone, impact, réduction"
Don réserve naturelle,Préservez les espaces naturels protégés,Environnement,Collecte de fonds,"don, réserve naturelle, préservation, protection"
Ramassage déchets forêt domaniale,Nettoyons la forêt domaniale des déchets,Environnement,Nettoyage,"forêt domaniale, ramassage, déchets, nettoyage"
Plantation arbustes mellifères,Plantons pour nourrir les pollinisateurs,Environnement,Plantation,"arbustes, mellifères, plantation, pollinisateurs"
Atelier lombricompostage,Le compostage en appartement avec des vers,Environnement,Éco-atelier,"atelier, lombricompostage, appartement, vers"
Conférence préservation océans,Les enjeux de la protection marine mondiale,Environnement,Sensibilisation,"conférence, océans, préservation, protection marine"
Levée fonds mare pédagogique,Créons une mare pour observer la biodiversité,Environnement,Collecte de fonds,"levée de fonds, mare, pédagogique, biodiversité"
Nettoyage grotte,Préservons le patrimoine naturel souterrain,Environnement,Nettoyage,"grotte, nettoyage, patrimoine naturel, souterrain"
Reforestation ripisylve,Restaurons la végétation des bords de cours d'eau,Environnement,Plantation,"reforestation, ripisylve, restauration, cours d'eau"
Atelier macramé récup,Créez des objets déco avec des cordes recyclées,Environnement,Éco-atelier,"atelier, macramé, récupération, déco, recyclage"
Webinaire mode éthique,La mode responsable et durable au quotidien,Environnement,Sensibilisation,"webinaire, mode éthique, responsable, durable"
Don centre récupération,Soutenez le centre de récupération et recyclage,Environnement,Collecte de fonds,"don, centre récupération, recyclage, soutien"
Nettoyage port plaisance,Opération port propre pour préserver l'eau,Environnement,Nettoyage,"port, plaisance, nettoyage, eau propre"
Plantation verger conservatoire,Sauvegardons les variétés fruitières anciennes,Environnement,Plantation,"verger, conservatoire, plantation, variétés anciennes"
Atelier couture zéro déchet,Cousez des accessoires réutilisables,Environnement,Éco-atelier,"atelier, couture, zéro déchet, réutilisable"
Conférence sols vivants,L'importance de la santé des sols pour l'agriculture,Environnement,Sensibilisation,"conférence, sols, agriculture, santé"
Financement jardin thérapeutique,Créons un jardin pour le bien-être et la nature,Environnement,Collecte de fonds,"financement, jardin thérapeutique, bien-être"
Ramassage mégots ville,Nettoyons les rues des mégots de cigarettes,Environnement,Nettoyage,"mégots, ville, ramassage, rues, nettoyage"
Plantation prairie fleurie,Créons un refuge pour les insectes butineurs,Environnement,Plantation,"prairie, fleurie, plantation, insectes, refuge"
Atelier bokashi,Le compostage japonais pour tous vos déchets,Environnement,Éco-atelier,"atelier, bokashi, compostage, japonais"
Formation écogestes quotidiens,Adoptez les bons réflexes écologiques chaque jour,Environnement,Sensibilisation,"formation, écogestes, quotidiens, réflexes écologiques"
Don ferme pédagogique,Soutenez l'éducation à l'environnement des enfants,Environnement,Collecte de fonds,"don, ferme pédagogique, éducation, enfants"
Nettoyage île fluviale,Préservons l'écosystème insulaire de la rivière,Environnement,Nettoyage,"île, fluviale, nettoyage, écosystème, rivière"
Reforestation talus,Stabilisons les talus avec des plantations natives,Environnement,Plantation,"reforestation, talus, stabilisation, plantation"
Atelier pâte dentifrice maison,Fabriquez votre dentifrice naturel sans plastique,Environnement,Éco-atelier,"atelier, dentifrice, maison, naturel, sans plastique"
Conférence agroforesterie,Les arbres au service de l'agriculture durable,Environnement,Sensibilisation,"conférence, agroforesterie, arbres, agriculture"
Crowdfunding éco-hameau,Créons un lieu de vie écologique et solidaire,Environnement,Collecte de fonds,"crowdfunding, éco-hameau, vie écologique, solidaire"
Nettoyage chemin côtier,Rendons le sentier littoral propre et accessible,Environnement,Nettoyage,"chemin, côtier, nettoyage, sentier, littoral"
Plantation forêt comestible,Créons une forêt nourricière collective,Environnement,Plantation,"forêt comestible, plantation, nourricière, collective"
Atelier déodorant naturel,Créez votre déodorant sans aluminium ni plastique,Environnement,Éco-atelier,"atelier, déodorant, naturel, sans aluminium"
Webinaire fast fashion,Les impacts de la mode rapide sur l'environnement,Environnement,Sensibilisation,"webinaire, fast fashion, impacts, mode rapide"
Financement toit végétalisé,Verdissons les toits de notre quartier,Environnement,Collecte de fonds,"financement, toit végétalisé, verdissement, quartier"
Nettoyage falaise,Sécurisons et nettoyons les falaises côtières,Environnement,Nettoyage,"falaise, nettoyage, sécurité, côtière"
Plantation bambouseraie,Développons une culture durable de bambou,Environnement,Plantation,"bambouseraie, plantation, bambou, culture durable"
Atelier baume lèvres,Fabriquez vos baumes à lèvres naturels,Environnement,Éco-atelier,"atelier, baume, lèvres, naturel, fabrication"
Conférence abeilles sauvages,Découvrez le monde fascinant des abeilles solitaires,Environnement,Sensibilisation,"conférence, abeilles sauvages, solitaires, découverte"
Don corridor écologique,Financez la création de passages pour la faune,Environnement,Collecte de fonds,"don, corridor écologique, passages, faune"
Ramassage plastique rivière,Libérons la rivière des déchets plastiques,Environnement,Nettoyage,"plastique, rivière, ramassage, déchets"
Reforestation parcelle,Replantons une parcelle après exploitation forestière,Environnement,Plantation,"reforestation, parcelle, replantation, exploitation"
Atelier sac en tissu,Cousez vos sacs réutilisables pour les courses,Environnement,Éco-atelier,"atelier, sac, tissu, réutilisable, courses"
