category;keywords
recyclage;recyclage, recycler, tri, tri sélectif, déchet, compost, compostage, réutiliser, réemploi, upcycling, déchets recyclables, bouteille plastique, carton, papier, verre, métal, réduction déchets, centre de tri, collecte sélective, valorisation matière, recyclabilité, consigne, déchets ménagers, tri des emballages, gestion des déchets, traitement des déchets
climat;climat, changement climatique, réchauffement, dérèglement climatique, émissions CO2, carbone, empreinte carbone, gaz à effet de serre, GES, transition écologique, accord de Paris, COP21, COP28, tempête, sécheresse, inondation, montée des eaux, canicule, fonte des glaces, climatologie, neutralité carbone, adaptation climatique, résilience climatique, politique climatique, climat global
biodiversite;biodiversité, écosystème, espèces menacées, faune, flore, forêt, océan, pollinisation, abeille, arbre, déforestation, reboisement, parc naturel, réserve naturelle, insecte, animaux sauvages, corail, habitat naturel, espèces invasives, protection animale, sanctuaire, équilibre écologique, extinction, conservation, zones humides
eau;eau, pollution eau, économie d'eau, ressource en eau, rivière, océan, mer, pluie, nappe phréatique, purification, dessalement, robinet, arrosage, sécheresse, inondation, traitement des eaux, station d’épuration, qualité de l’eau, captage, irrigation, assainissement, eau potable, pénurie d’eau, gestion hydraulique, fuite d’eau, récupération d’eau de pluie
energie;énergie, énergies renouvelables, solaire, photovoltaïque, éolien, géothermique, hydroélectrique, biomasse, hydrogène vert, efficacité énergétique, économie d'énergie, ampoule LED, isolation, voiture électrique, batterie, borne de recharge, réseau intelligent, sobriété énergétique, stockage d’énergie, autoconsommation, transition énergétique, énergie propre, empreinte énergétique
transport;transport, mobilité durable, vélo, marche, covoiturage, transports en commun, bus, métro, train, avion, émissions transport, vélo électrique, marche à pied, télétravail, véhicule hybride, mobilité douce, trottinette électrique, plan de mobilité, voiture partagée, autopartage, transport public, mobilité urbaine, transport vert, déplacement éco, transport bas carbone
alimentation;alimentation, alimentation locale, bio, agriculture biologique, végétarien, végétalien, flexitarien, zéro déchet, compost, circuit court, ferme, marché, manger sain, réduire viande, production locale, saisonnalité, gaspillage alimentaire, nourriture durable, agroécologie, fermier, produits frais, alimentation responsable, potager, permaculture, consommation responsable
pollution;pollution, air, eau, sol, bruit, lumière, plastique, pesticide, industrie, voiture, masque, filtre, purificateur, éco-geste, zéro plastique, smog, dioxyde d’azote, particules fines, marée noire, microplastique, contamination, incinération, pollution urbaine, pollution marine, déchets toxiques, pollution industrielle
sensibilisation;sensibilisation, éducation environnementale, formation, atelier, conférence, manifestation, pétition, réseau social, campagne, affiche, vidéo, podcast, blog, communication verte, événement écologique, plaidoyer, mobilisation citoyenne, bénévolat, festival vert, journée mondiale, actions locales, école verte, influence écologique, concours vert
foresterie;forêt, arbre, reboisement, déforestation, gestion forestière, bois, oxygène, CO2, plantation, biodiversité forestière, incendie forêt, sylviculture, replantation, exploitation durable, coupe d’arbres, forêt tropicale, bois certifié, gestion durable, carbone forestier, restauration écologique, feu de forêt, dégradation des forêts
agriculture durable;agriculture, durable, bio, permaculture, rotation culture, sol fertile, semences, ferme, agroécologie, zéro chimie, agriculture régénérative, agriculture raisonnée, compostage, engrais naturel, pesticides bio, biodiversité agricole, culture maraîchère, élevage durable, autonomie alimentaire, pratiques agricoles durables, terre vivante
economie circulaire;économie circulaire, réutilisation, recyclage, upcycling, zéro déchet, chaîne valeur, produit durable, consommer responsable, réparer, louer, partage, mutualisation, seconde main, écoconception, production locale, durabilité, économie collaborative, plateforme de partage, cycle de vie produit, gestion ressources, valorisation, consommation éthique, réduction gaspillage
dechets plastiques;plastique, microplastique, sac plastique, pollution plastique, emballage, bouteille plastique, plastique biodégradable, plastique à usage unique, interdiction plastique, collecte plastique, tri plastique, recyclage plastique, océan plastique, déchets marins, plastique recyclé
developpement durable;développement durable, durabilité, RSE, responsabilité sociétale, objectifs ODD, Agenda 2030, économie verte, empreinte écologique, transition durable, gouvernance, équité, justice environnementale, inclusion sociale, développement équitable
qualite de l’air;air, pollution de l’air, qualité de l’air, particules fines, CO2, ozone, smog, respiration, filtre à air, capteur air, santé environnementale, indice de pollution, dioxyde d’azote, circulation alternée, zone faible émission, asthme, atmosphère propre
océans et mers;océan, mer, récif, corail, pêche durable, pollution marine, marée noire, surpêche, biodiversité marine, réserve marine, plastique océan, érosion côtière, montée des eaux, acidification, zone côtière, filets de pêche, dauphin, tortue marine
gestion des déchets;déchets, tri, collecte, centre de tri, incinération, décharge, compostage, valorisation, recyclage, économie circulaire, biodéchet, collecte sélective, traitement des déchets, enfouissement, déchetterie, récupération, tri des emballages
consommation responsable;consommer responsable, consommation éthique, zéro déchet, seconde main, minimalisme, achat local, produit durable, slow consommation, réparer, louer, troc, réutiliser, sobriété, anti-gaspillage, étiquette écologique, éco-produit, commerce équitable
innovation verte;innovation verte, technologies propres, green tech, éco-innovation, start-up durable, énergie verte, intelligence artificielle verte, biotechnologie environnementale, innovation circulaire, agriculture connectée, smart city, transition numérique verte
sante et environnement;santé environnementale, qualité de l’air, qualité de l’eau, perturbateurs endocriniens, pesticide, bruit, stress thermique, allergies, maladies respiratoires, pollution urbaine, santé publique, environnement sain
urbanisme durable;urbanisme durable, ville verte, smart city, mobilité douce, écoquartier, infrastructure verte, transport public, plan climat, logement écologique, architecture durable, végétalisation urbaine, espace vert, toit végétalisé
justice climatique;justice climatique, inégalités environnementales, solidarité climatique, migration climatique, justice sociale, adaptation, résilience, politique climatique, participation citoyenne, droit environnemental, responsabilité climatique
oceconomie bleue;économie bleue, pêche durable, énergie marine, biotechnologie marine, transport maritime durable, gestion côtière, aquaculture durable, port écologique, biodiversité marine, tourisme littoral
tourisme durable;tourisme durable, écotourisme, voyage responsable, hébergement écologique, transport vert, site naturel, patrimoine, empreinte carbone, tourisme local, slow travel, tourisme solidaire
technologie propre;technologie propre, cleantech, énergie verte, innovation environnementale, réduction carbone, efficacité énergétique, mobilité électrique, stockage vert, digital durable, green computing, data center vert
finance verte;finance verte, investissement durable, fonds ESG, obligations vertes, transition énergétique, économie bas carbone, responsabilité sociale, investissement éthique, finance climatique, économie durable, impact investing
education environnementale;éducation environnementale, école verte, formation écologique, programme scolaire durable, ateliers écologiques, pédagogie verte, sensibilisation, projet scolaire, jeunesse climat, concours environnemental
mode durable;mode durable, slow fashion, vêtement éthique, textile recyclé, coton bio, upcycling, seconde main, marque responsable, empreinte textile, fast fashion, production locale, vêtements écologiques
gestion de l’eau;gestion de l’eau, conservation, irrigation, traitement, assainissement, récupération eau de pluie, pénurie, sécheresse, nappe phréatique, eau potable, économie d’eau, pollution hydrique
habitat écologique;habitat écologique, maison passive, éco-construction, isolation, énergie solaire, matériaux durables, architecture verte, rénovation énergétique, bâtiment bas carbone, habitat naturel
adaptation climatique;adaptation climatique, résilience, prévention risques, sécheresse, inondation, vague de chaleur, montée des eaux, adaptation urbaine, stratégie climat, protection civile, gestion catastrophes
responsabilite sociale;responsabilité sociale, RSE, entreprise durable, gouvernance, inclusion, égalité, éthique, impact environnemental, politique RSE, certification ISO 26000, transparence, responsabilité citoyenne
decarbonation;décarbonation, neutralité carbone, réduction carbone, capture carbone, compensation carbone, bilan carbone, stratégie bas carbone, transition énergétique, puits de carbone, empreinte carbone, stockage CO2, zéro émission, net zero
justice sociale et environnementale;justice sociale, équité environnementale, inclusion, pauvreté, droits humains, accès à l’eau, inégalités, droit à l’environnement, solidarité, communauté, responsabilité, développement humain
